id;d;dy;date;proklad;tg;tn;t2;t1_1;t1_2;t1_3;t1_4;qp_1;qo_1;qp_2;qo_2;qp_3;qo_3;qp_4;qo_4;qp_1gt5000;qo_1gt5000;qp_2gt5000;qo_2gt5000;qp_3gt5000;qo_3gt5000;qp_4gt5000;qo_4gt5000;mode
5028;0;1400;3;К;50;50;50;65;90;110;110;149;66;208;51;236;42;236;42;112;60;154;50;193;41;193;41;1
5029;0;25;3;Н;50;50;50;50;100;150;150;10;NULL;20;NULL;29;NULL;29;NULL;9;NULL;17;NULL;26;NULL;26;NULL;1
5030;0;40;3;Н;50;50;50;50;100;150;150;13;NULL;23;NULL;34;NULL;34;NULL;10;NULL;21;NULL;31;NULL;31;NULL;1
5031;0;50;3;Н;50;50;50;50;100;150;150;14;NULL;26;NULL;38;NULL;38;NULL;12;NULL;22;NULL;33;NULL;33;NULL;1
5032;0;65;3;Н;50;50;50;50;100;150;150;16;NULL;29;NULL;43;NULL;43;NULL;13;NULL;25;NULL;38;NULL;38;NULL;1
5033;0;80;3;Н;50;50;50;50;100;150;150;18;NULL;32;NULL;47;NULL;47;NULL;15;NULL;28;NULL;41;NULL;41;NULL;1
5034;0;100;3;Н;50;50;50;50;100;150;150;20;NULL;35;NULL;52;NULL;52;NULL;16;NULL;30;NULL;45;NULL;45;NULL;1
5035;0;125;3;Н;50;50;50;50;100;150;150;22;NULL;40;NULL;57;NULL;57;NULL;19;NULL;34;NULL;49;NULL;49;NULL;1
5036;0;15;3;Н;50;50;50;50;100;150;150;8;NULL;16;NULL;24;NULL;24;NULL;7;NULL;14;NULL;21;NULL;21;NULL;1
5037;0;20;3;Н;50;50;50;50;100;150;150;9;NULL;18;NULL;27;NULL;27;NULL;8;NULL;16;NULL;24;NULL;24;NULL;1
5038;0;150;3;Н;50;50;50;50;100;150;150;25;NULL;45;NULL;63;NULL;63;NULL;21;NULL;38;NULL;53;NULL;53;NULL;1
5039;0;200;3;Н;50;50;50;50;100;150;150;31;NULL;54;NULL;77;NULL;77;NULL;26;NULL;46;NULL;65;NULL;65;NULL;1
5040;0;250;3;Н;50;50;50;50;100;150;150;36;NULL;62;NULL;89;NULL;89;NULL;30;NULL;53;NULL;74;NULL;74;NULL;1
5041;0;300;3;Н;50;50;50;50;100;150;150;41;NULL;72;NULL;99;NULL;99;NULL;34;NULL;59;NULL;83;NULL;83;NULL;1
5042;0;350;3;Н;50;50;50;50;100;150;150;47;NULL;79;NULL;109;NULL;109;NULL;39;NULL;65;NULL;91;NULL;91;NULL;1
5043;0;400;3;Н;50;50;50;50;100;150;150;52;NULL;86;NULL;120;NULL;120;NULL;42;NULL;72;NULL;99;NULL;99;NULL;1
5044;0;450;3;Н;50;50;50;50;100;150;150;57;NULL;93;NULL;128;NULL;128;NULL;46;NULL;76;NULL;106;NULL;106;NULL;1
5045;0;500;3;Н;50;50;50;50;100;150;150;62;NULL;101;NULL;140;NULL;140;NULL;50;NULL;83;NULL;116;NULL;116;NULL;1
5046;0;600;3;Н;50;50;50;50;100;150;150;71;NULL;116;NULL;159;NULL;159;NULL;57;NULL;95;NULL;131;NULL;131;NULL;1
5047;0;700;3;Н;50;50;50;50;100;150;150;81;NULL;130;NULL;177;NULL;177;NULL;65;NULL;105;NULL;146;NULL;146;NULL;1
5048;0;800;3;Н;50;50;50;50;100;150;150;91;NULL;145;NULL;197;NULL;197;NULL;72;NULL;116;NULL;148;NULL;148;NULL;1
5049;0;900;3;Н;50;50;50;50;100;150;150;100;NULL;159;NULL;216;NULL;216;NULL;79;NULL;128;NULL;177;NULL;177;NULL;1
