id;d;dy;date;proklad;tg;tn;t2;t1_1;t1_2;t1_3;t1_4;qp_1;qo_1;qp_2;qo_2;qp_3;qo_3;qp_4;qo_4;qp_1gt5000;qo_1gt5000;qp_2gt5000;qo_2gt5000;qp_3gt5000;qo_3gt5000;qp_4gt5000;qo_4gt5000;mode
5145;426;0;1;Н;5;5;50;50;75;100;125;82;NULL;105;NULL;128;NULL;150;NULL;82;NULL;105;NULL;128;NULL;150;NULL;1
5146;480;0;1;Н;5;5;50;50;75;100;125;89;NULL;113;NULL;136;NULL;160;NULL;89;NULL;113;NULL;136;NULL;160;NULL;1
5147;530;0;1;Н;5;5;50;50;75;100;125;95;NULL;120;NULL;145;NULL;170;NULL;95;NULL;120;NULL;145;NULL;170;NULL;1
5148;630;0;1;Н;5;5;50;50;75;100;125;104;NULL;133;NULL;160;NULL;190;NULL;104;NULL;133;NULL;160;NULL;190;NULL;1
5149;720;0;1;Н;5;5;50;50;75;100;125;115;NULL;145;NULL;176;NULL;206;NULL;115;NULL;145;NULL;176;NULL;206;NULL;1
5150;820;0;1;Н;5;5;50;50;75;100;125;135;NULL;168;NULL;200;NULL;233;NULL;135;NULL;168;NULL;200;NULL;233;NULL;1
5151;920;0;1;Н;5;5;50;50;75;100;125;155;NULL;190;NULL;225;NULL;260;NULL;155;NULL;190;NULL;225;NULL;260;NULL;1
5152;1020;0;1;Н;5;5;50;50;75;100;125;180;NULL;220;NULL;255;NULL;292;NULL;180;NULL;220;NULL;255;NULL;292;NULL;1
5153;1220;0;1;Н;5;5;50;50;75;100;125;201;NULL;246;NULL;286;NULL;333;NULL;201;NULL;246;NULL;286;NULL;333;NULL;1
5154;1420;0;1;Н;5;5;50;50;75;100;125;230;NULL;280;NULL;325;NULL;380;NULL;230;NULL;280;NULL;325;NULL;380;NULL;1
5155;0;25;2;К;50;50;50;65;90;110;110;15;10;22;9;27;9;27;9;14;9;20;9;24;8;24;8;1
5156;0;30;2;К;50;50;50;65;90;110;110;16;11;23;10;28;9;28;9;15;10;21;9;26;9;26;9;1
5157;0;40;2;К;50;50;50;65;90;110;110;18;12;25;11;31;10;31;10;15;11;22;10;28;9;28;9;1
5158;0;50;2;К;50;50;50;65;90;110;110;19;13;28;12;34;11;34;11;17;12;24;11;30;10;30;10;1
5159;0;65;2;К;50;50;50;65;90;110;110;23;16;33;14;40;12;40;12;20;14;29;13;34;11;34;11;1
5160;0;80;2;К;50;50;50;65;90;110;110;25;17;35;15;44;13;44;13;22;15;31;14;38;12;38;12;1
5161;0;100;2;К;50;50;50;65;90;110;110;28;19;40;16;49;15;49;15;24;16;35;15;41;13;41;13;1
5162;0;125;2;К;50;50;50;65;90;110;110;29;20;42;17;53;15;53;15;27;18;36;15;43;14;43;14;1
5163;0;150;2;К;50;50;50;65;90;110;110;33;22;46;19;56;16;56;16;28;19;38;16;47;15;47;15;1
5164;0;175;2;К;50;50;50;65;90;110;110;37;25;52;21;64;18;64;18;31;22;42;18;53;16;53;16;1
5165;0;200;2;К;50;50;50;65;90;110;110;41;27;57;22;71;20;71;20;34;23;46;19;59;18;59;18;1
5166;0;250;2;К;50;50;50;65;90;110;110;46;30;65;25;80;22;80;22;39;26;55;22;66;20;66;20;1
5167;0;300;2;К;50;50;50;65;90;110;110;53;34;75;28;89;24;89;24;43;28;60;24;72;22;72;22;1
5168;0;350;2;К;50;50;50;65;90;110;110;59;38;80;29;101;25;101;25;47;32;65;26;81;22;81;22;1
5169;0;400;2;К;50;50;50;65;90;110;110;65;40;94;32;106;26;106;26;50;33;71;28;87;24;87;24;1
5170;0;450;2;К;50;50;50;65;90;110;110;66;42;96;34;116;28;116;28;58;37;80;31;92;25;92;25;1
5171;0;500;2;К;50;50;50;65;90;110;110;76;46;108;37;144;28;144;28;59;38;84;33;101;28;101;28;1
5172;0;600;2;К;50;50;50;65;90;110;110;84;50;121;39;147;30;147;30;68;43;94;35;114;29;114;29;1
5173;0;700;2;К;50;50;50;65;90;110;110;92;54;140;40;159;33;159;33;77;47;108;37;130;32;130;32;1
5174;0;800;2;К;50;50;50;65;90;110;110;112;62;156;41;183;36;183;36;86;52;121;39;140;34;140;34;1
5175;0;900;2;К;50;50;50;65;90;110;110;119;65;164;49;201;38;201;38;91;57;130;46;160;37;160;37;1
5176;0;1000;2;К;50;50;50;65;90;110;110;131;67;171;51;214;42;214;42;101;61;136;49;165;40;165;40;1
5177;0;1200;2;К;50;50;50;65;90;110;110;159;74;221;57;258;46;258;46;124;68;159;55;197;45;197;45;1
5178;0;1400;2;К;50;50;50;65;90;110;110;176;77;245;59;277;50;277;50;131;71;181;59;217;48;217;48;1
5179;0;25;2;Б;50;50;50;65;90;90;90;31;23;41;22;41;22;41;22;28;22;38;21;38;21;38;21;1
5180;0;30;2;Б;50;50;50;65;90;90;90;32;24;43;23;43;23;43;23;29;22;40;22;40;22;40;22;1
5181;0;40;2;Б;50;50;50;65;90;90;90;33;27;47;26;47;26;47;26;32;25;43;23;43;23;43;23;1
5182;0;50;2;Б;50;50;50;65;90;90;90;38;29;52;28;52;28;52;28;34;27;46;25;46;25;46;25;1
5183;0;65;2;Б;50;50;50;65;90;90;90;43;33;58;31;58;31;58;31;39;29;52;28;52;28;52;28;1
5184;0;80;2;Б;50;50;50;65;90;90;90;44;34;59;32;59;32;59;32;40;30;53;29;53;29;53;29;1
5185;0;100;2;Б;50;50;50;65;90;90;90;47;36;64;34;64;34;64;34;42;33;56;30;56;30;56;30;1
5186;0;125;2;Б;50;50;50;65;90;90;90;53;40;70;38;70;38;70;38;46;35;62;34;62;34;62;34;1
5187;0;150;2;Б;50;50;50;65;90;90;90;59;45;78;42;78;42;78;42;52;40;69;37;69;37;69;37;1
5188;0;175;2;Б;50;50;50;65;90;90;90;63;48;83;43;83;43;83;43;54;41;73;40;73;40;73;40;1
5189;0;200;2;Б;50;50;50;65;90;90;90;66;51;87;46;87;46;87;46;57;43;77;41;77;41;77;41;1
5190;0;250;2;Б;50;50;50;65;90;90;90;71;54;96;51;96;51;96;51;62;47;83;44;83;44;83;44;1
5191;0;300;2;Б;50;50;50;65;90;90;90;78;59;105;55;105;55;105;55;68;51;90;48;90;48;90;48;1
5192;0;350;2;Б;50;50;50;65;90;90;90;87;65;115;59;115;59;115;59;74;56;97;52;97;52;97;52;1
5193;0;400;2;Б;50;50;50;65;90;90;90;93;69;121;63;121;63;121;63;78;59;104;54;104;54;104;54;1
5194;0;450;2;Б;50;50;50;65;90;90;90;100;74;130;67;130;67;130;67;84;62;111;58;111;58;111;58;1
5195;0;500;2;Б;50;50;50;65;90;90;90;106;78;140;71;140;71;140;71;90;67;119;62;119;62;119;62;1
5196;0;600;2;Б;50;50;50;65;90;90;90;121;89;160;81;160;81;160;81;101;75;134;69;134;69;134;69;1
5197;0;700;2;Б;50;50;50;65;90;90;90;134;96;175;86;175;86;175;86;108;80;146;74;146;74;146;74;1
5198;0;800;2;Б;50;50;50;65;90;90;90;146;105;195;94;195;94;195;94;121;88;160;80;160;80;160;80;1
5199;0;900;2;Б;50;50;50;65;90;90;90;157;114;214;101;214;101;214;101;132;96;174;86;174;86;174;86;1
5200;0;1000;2;Б;50;50;50;65;90;90;90;168;122;234;109;234;109;234;109;145;103;187;92;187;92;187;92;1
5201;0;1200;2;Б;50;50;50;65;90;90;90;190;139;273;125;273;125;273;125;169;119;215;104;215;104;215;104;1
5202;0;15;2;Н;50;50;50;50;100;150;150;10;NULL;19;NULL;29;NULL;29;NULL;9;NULL;17;NULL;26;NULL;26;NULL;1
5203;0;20;2;Н;50;50;50;50;100;150;150;11;NULL;22;NULL;33;NULL;33;NULL;10;NULL;19;NULL;29;NULL;29;NULL;1
5204;0;25;2;Н;50;50;50;50;100;150;150;13;NULL;24;NULL;36;NULL;36;NULL;11;NULL;22;NULL;32;NULL;32;NULL;1
5205;0;40;2;Н;50;50;50;50;100;150;150;15;NULL;28;NULL;42;NULL;42;NULL;13;NULL;25;NULL;38;NULL;38;NULL;1
5206;0;50;2;Н;50;50;50;50;100;150;150;16;NULL;31;NULL;46;NULL;46;NULL;15;NULL;27;NULL;40;NULL;40;NULL;1
5207;0;65;2;Н;50;50;50;50;100;150;150;20;NULL;35;NULL;53;NULL;53;NULL;16;NULL;31;NULL;46;NULL;46;NULL;1
5208;0;80;2;Н;50;50;50;50;100;150;150;22;NULL;39;NULL;57;NULL;57;NULL;18;NULL;34;NULL;50;NULL;50;NULL;1
5209;0;100;2;Н;50;50;50;50;100;150;150;21;NULL;43;NULL;63;NULL;63;NULL;23;NULL;37;NULL;55;NULL;55;NULL;1
5210;0;125;2;Н;50;50;50;50;100;150;150;28;NULL;48;NULL;70;NULL;70;NULL;24;NULL;42;NULL;60;NULL;60;NULL;1
5211;0;150;2;Н;50;50;50;50;100;150;150;30;NULL;54;NULL;77;NULL;77;NULL;26;NULL;46;NULL;66;NULL;66;NULL;1
5212;0;175;2;Н;50;50;50;50;100;150;150;34;NULL;60;NULL;85;NULL;85;NULL;29;NULL;52;NULL;71;NULL;71;NULL;1
5213;0;200;2;Н;50;50;50;50;100;150;150;38;NULL;66;NULL;94;NULL;94;NULL;32;NULL;56;NULL;80;NULL;80;NULL;1
5214;0;250;2;Н;50;50;50;50;100;150;150;44;NULL;76;NULL;108;NULL;108;NULL;37;NULL;65;NULL;91;NULL;91;NULL;1
5215;0;300;2;Н;50;50;50;50;100;150;150;51;NULL;87;NULL;121;NULL;121;NULL;42;NULL;72;NULL;102;NULL;102;NULL;1
5216;0;1400;2;Б;50;50;50;65;90;90;90;212;157;313;169;313;169;313;169;193;134;243;116;243;116;243;116;1
5217;0;350;2;Н;50;50;50;50;100;150;150;57;NULL;96;NULL;133;NULL;133;NULL;47;NULL;80;NULL;113;NULL;113;NULL;1
5218;0;400;2;Н;50;50;50;50;100;150;150;63;NULL;105;NULL;146;NULL;146;NULL;53;NULL;88;NULL;122;NULL;122;NULL;1
5219;0;450;2;Н;50;50;50;50;100;150;150;69;NULL;114;NULL;157;NULL;157;NULL;56;NULL;94;NULL;131;NULL;131;NULL;1
5220;0;500;2;Н;50;50;50;50;100;150;150;76;NULL;123;NULL;170;NULL;170;NULL;61;NULL;102;NULL;143;NULL;143;NULL;1
5221;0;600;2;Н;50;50;50;50;100;150;150;86;NULL;142;NULL;194;NULL;194;NULL;71;NULL;117;NULL;162;NULL;162;NULL;1
5222;0;700;2;Н;50;50;50;50;100;150;150;98;NULL;158;NULL;215;NULL;215;NULL;79;NULL;130;NULL;180;NULL;180;NULL;1
5223;0;800;2;Н;50;50;50;50;100;150;150;110;NULL;177;NULL;239;NULL;239;NULL;89;NULL;144;NULL;183;NULL;183;NULL;1
5224;0;900;2;Н;50;50;50;50;100;150;150;121;NULL;195;NULL;263;NULL;263;NULL;97;NULL;158;NULL;218;NULL;218;NULL;1
5225;0;1000;2;Н;50;50;50;50;100;150;150;133;NULL;213;NULL;287;NULL;287;NULL;107;NULL;173;NULL;287;NULL;287;NULL;1
5226;0;1200;2;Н;50;50;50;50;100;150;150;157;NULL;249;NULL;333;NULL;333;NULL;126;NULL;202;NULL;274;NULL;274;NULL;1
5227;0;1400;2;Н;50;50;50;50;100;150;150;181;NULL;285;NULL;379;NULL;379;NULL;145;NULL;231;NULL;312;NULL;312;NULL;1
5228;1440;0;1;Б;5;5;50;65;90;110;110;250;230;324;230;360;230;360;230;250;230;324;230;360;230;360;230;1
5229;1480;0;1;Б;5;5;50;65;90;110;110;0;23;9;23;2;23;2;23;0;23;9;23;2;23;2;23;1
5230;1234;0;1;Б;5;5;50;65;90;110;110;9;12;0;12;9;12;9;12;9;12;0;12;9;12;9;12;1
